Provider/Agency,Hosting Org,Street Address,City,State,Postal Code,"Location (Lat, Long)",Latitude,Longitude,NTA Code,NTA Name,Council Distrcit,Offer Wifi,Original Dataset,Add'l Info
SPECTRUM,Unknown,Park Perimeter,Queens,New York,11434,"(40.6748599999, -73.7841200005)",40.67486,-73.78412,QN02,Springfield Gardens North,28,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
SPECTRUM,Unknown,Park Perimeter,Queens,New York,11355,"(40.7475599996, -73.8181499997)",40.74756,-73.81815,QN22,Flushing,20,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
Transit Wireless,Unknown,Grand St (L),Brooklyn,New York,11206,"(40.7119259997, -73.9406699994)",40.711926,-73.94067,BK90,East Williamsburg,34,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
Downtown Brooklyn,Unknown,125 Court St.,Brooklyn,New York,11201,"(40.6899850001, -73.9919950004)",40.689985,-73.991995,BK09,Brooklyn Heights-Cobble Hill,33,Free,NYC Wifi Hotspot Locations,Downtown Brooklyn WiFi
Transit Wireless,Unknown,Lexington Av-63 St (F),New York,New York,10065,"(40.7646300002, -73.9661150001)",40.76463,-73.966115,MN40,Upper East Side-Carnegie Hill,4,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
SPECTRUM,Unknown,Park Perimeter,Queens,New York,11355,"(40.7424300003, -73.8115100003)",40.74243,-73.81151,QN62,Queensboro Hill,20,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
Harlem,Unknown,Pole 94 - LenWS1N133,New York,New York,10037,"(40.812944, -73.9416929996)",40.812944,-73.941693,MN03,Central Harlem North-Polo Grounds,9,Free,NYC Wifi Hotspot Locations,Harlem Wi-Fi
BPL,Unknown,380 WASHINGTON AVENUE,Brooklyn,New York,11238,"(40.6873790941, -73.966030666)",40.68737909,-73.96603067,BK69,Clinton Hill,35,Free,NYC Wifi Hotspot Locations,BPLUNWIRED
Transit Wireless,Unknown,Halsey St (L),Brooklyn,New York,11385,"(40.6956020001, -73.9040840004)",40.695602,-73.904084,QN20,Ridgewood,34,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
Transit Wireless,Unknown,"Broadway Junction (A,C,J,L,Z)",Brooklyn,New York,11233,"(40.6783340002, -73.9053160001)",40.678334,-73.905316,BK79,Ocean Hill,37,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
ALTICEUSA,Unknown,CROTONA PARK C/O EAST 173RD ST AND FULTON AVE,Bronx,New York,10457,"(40.8406639999, -73.8983720002)",40.840664,-73.898372,BX01,Claremont-Bathgate,16,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
Fiberless,Unknown,Liggett B Food Court,New York,New York,10004,"(40.6903899996, -74.0199599995)",40.69039,-74.01996,MN99,Governors Island,1,Free,NYC Wifi Hotspot Locations,Governors Island
Harlem,Unknown,pole 51n - 131NWC5th,New York,New York,10037,"(40.81026, -73.9395100003)",40.81026,-73.93951,MN03,Central Harlem North-Polo Grounds,9,Free,NYC Wifi Hotspot Locations,Harlem Wi-Fi
LinkNYC - Citybridge,Unknown,181 Court Street,Brooklyn,New York,11201,"(40.6879008003, -73.9931469103)",40.6879008,-73.99314691,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,33,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,620 ATLANTIC AVENUE,Brooklyn,New York,11217,"(40.6836250004, -73.9770060002)",40.683625,-73.977006,BK37,Park Slope-Gowanus,35,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,19 SEAVIEW AVENUE,Staten Island,New York,10304,"(40.5909830002, -74.1007320003)",40.590983,-74.100732,SI36,Old Town-Dongan Hills-South Beach,50,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
BPL,Unknown,8 THOMAS S BOYLAND STREET,Brooklyn,New York,11233,"(40.6848100477, -73.915132416)",40.68481005,-73.91513242,BK79,Ocean Hill,41,Free,NYC Wifi Hotspot Locations,BPLUNWIRED
LinkNYC - Citybridge,Unknown,43-40 NORTHERN BOULEVARD,Queens,New York,11101,"(40.7536406401, -73.9184016594)",40.75364064,-73.91840166,QN31,Hunters Point-Sunnyside-West Maspeth,26,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
ALTICEUSA,Unknown,IN PARK BELOW PLAYGROUND AREA SOUTH SIDE,Brooklyn,New York,11237,"(40.7025399998, -73.9238159997)",40.70254,-73.923816,BK77,Bushwick North,34,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,237 1 AVENUE,New York,New York,10003,"(40.7312190398, -73.9828270001)",40.73121904,-73.982827,MN22,East Village,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,242 EAST 10 STREET,New York,New York,10003,"(40.728824, -73.9846799999)",40.728824,-73.98468,MN22,East Village,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,203 3 AVENUE,New York,New York,10003,"(40.7356259996, -73.9853220002)",40.735626,-73.985322,MN21,Gramercy,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,323 3 AVENUE,New York,New York,10010,"(40.739528, -73.9824889997)",40.739528,-73.982489,MN20,Murray Hill-Kips Bay,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,736 7 AVENUE,New York,New York,10019,"(40.7602353199, -73.9840119597)",40.76023532,-73.98401196,MN17,Midtown-Midtown South,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,400 EAST 68 STREET,New York,New York,10065,"(40.7651194601, -73.9576938298)",40.76511946,-73.95769383,MN31,Lenox Hill-Roosevelt Island,5,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,170 2 AVENUE,New York,New York,10003,"(40.7302489998, -73.9863479994)",40.730249,-73.986348,MN22,East Village,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,300 EAST 45 STREET,New York,New York,10017,"(40.7516323603, -73.9706571702)",40.75163236,-73.97065717,MN19,Turtle Bay-East Midtown,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,84-43 CORONA AVENUE,Queens,New York,11373,"(40.73933161, -73.8781299298)",40.73933161,-73.87812993,QN50,Elmhurst-Maspeth,25,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,2208 FULTON STREET,Brooklyn,New York,11233,"(40.6780789998, -73.9083739999)",40.678079,-73.908374,BK79,Ocean Hill,37,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Manhattan Down Alliance,Unknown,"Downtown Manhattan Heliport, 6 East River Piers, New York, USA",New York,New York,10004,"(40.7015990998, -74.0093001995)",40.7015991,-74.0093002,MN25,Battery Park City-Lower Manhattan,1,Free,NYC Wifi Hotspot Locations,#DwtwnAllianceFreeWiFi
Transit Wireless,Unknown,"7 Av (B,Q)",Brooklyn,New York,11217,"(40.67705, -73.9723670001)",40.67705,-73.972367,BK64,Prospect Heights,39,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
LinkNYC - Citybridge,Unknown,42-02 30 AVENUE,Queens,New York,11103,"(40.7629999999, -73.9132590006)",40.763,-73.913259,QN70,Astoria,22,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,3301 CHURCH AVE,Brooklyn,New York,11203,"(40.6510267597, -73.9465128704)",40.65102676,-73.94651287,BK95,Erasmus,40,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,504 6 AVENUE,New York,New York,10011,"(40.7365398796, -73.9971555402)",40.73653988,-73.99715554,MN23,West Village,3,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,200 EAST 74 STREET,New York,New York,10021,"(40.7709460001, -73.9594960004)",40.770946,-73.959496,MN31,Lenox Hill-Roosevelt Island,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
BPL,Unknown,7 WOLCOTT STREET,Brooklyn,New York,11231,"(40.6752551911, -74.0103512916)",40.67525519,-74.01035129,BK33,Carroll Gardens-Columbia Street-Red Hook,38,Free,NYC Wifi Hotspot Locations,BPLUNWIRED
LinkNYC - Citybridge,Unknown,725 Lexington Ave,New York,New York,10022,"(40.7615592304, -73.9683905603)",40.76155923,-73.96839056,MN19,Turtle Bay-East Midtown,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,3368 FULTON STREET,Brooklyn,New York,11208,"(40.6838205904, -73.8713797301)",40.68382059,-73.87137973,BK83,Cypress Hills-City Line,37,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,2620 BRIGGS AVENUE,Bronx,New York,10458,"(40.8648700001, -73.8927999994)",40.86487,-73.8928,BX05,Bedford Park-Fordham North,15,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,378 3 AVENUE,New York,New York,10016,"(40.7415361403, -73.9813326198)",40.74153614,-73.98133262,MN21,Gramercy,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,856 AMSTERDAM AVE,New York,New York,10025,"(40.7978261899, -73.9677477303)",40.79782619,-73.96774773,MN12,Upper West Side,7,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,2730 FREDERICK DOUGLASS BOULEVARD,New York,New York,10039,"(40.8229240001, -73.9417229998)",40.822924,-73.941723,MN03,Central Harlem North-Polo Grounds,9,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
ALTICEUSA,Unknown,IN PARK LEFT SIDE OF BASKETBNALL COURTS NORTH SIDE,Brooklyn,New York,11237,"(40.7033079996, -73.9240869998)",40.703308,-73.924087,BK77,Bushwick North,34,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,2114 BROADWAY,New York,New York,10023,"(40.7800194697, -73.9813959896)",40.78001947,-73.98139599,MN14,Lincoln Square,6,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,38-02 QUEENS BLVD,Queens,New York,11101,"(40.74387741, -73.9269261104)",40.74387741,-73.92692611,QN31,Hunters Point-Sunnyside-West Maspeth,26,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
AT&T,Unknown,Amphitheater,New York,New York,10027,"(40.8048000002, -73.9443)",40.8048,-73.9443,MN34,East Harlem North,9,Free,NYC Wifi Hotspot Locations,attwifi
LinkNYC - Citybridge,Unknown,333 5 AVENUE,New York,New York,10016,"(40.7476272599, -73.9850371596)",40.74762726,-73.98503716,MN17,Midtown-Midtown South,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,221 8 AVENUE,New York,New York,10011,"(40.7442600298, -73.9993978695)",40.74426003,-73.99939787,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,300 West 57Th St,New York,New York,10019,"(40.7666381202, -73.9830918204)",40.76663812,-73.98309182,MN15,Clinton,3,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
ALTICEUSA,Unknown,BALCOM AV 2/P/N/O SAMPSON AV,Bronx,New York,10465,"(40.818752, -73.82456)",40.818752,-73.82456,BX52,Schuylerville-Throgs Neck-Edgewater Park,13,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
NYPL,Unknown,524 MAIN STREET,New York,New York,10044,"(40.7612533724, -73.9501658898)",40.76125337,-73.95016589,MN31,Lenox Hill-Roosevelt Island,5,Free,NYC Wifi Hotspot Locations,NYPL
LinkNYC - Citybridge,Unknown,546 WEST 147 STREET,New York,New York,10031,"(40.8275800002, -73.9492880002)",40.82758,-73.949288,MN04,Hamilton Heights,7,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Downtown Brooklyn,Unknown,110 Livingston St.,Brooklyn,New York,11201,"(40.6908829998, -73.9896349995)",40.690883,-73.989635,BK09,Brooklyn Heights-Cobble Hill,33,Free,NYC Wifi Hotspot Locations,Downtown Brooklyn WiFi
Downtown Brooklyn,Unknown,254 Flatbush Ave. Extension (pole),Brooklyn,New York,11201,"(40.6927230002, -73.9830250002)",40.692723,-73.983025,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,33,Free,NYC Wifi Hotspot Locations,Downtown Brooklyn WiFi
LinkNYC - Citybridge,Unknown,685 Franklin Ave,Brooklyn,New York,11216,"(40.6751409996, -73.9562809996)",40.675141,-73.956281,BK61,Crown Heights North,35,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,2 WEST 53 STREET,New York,New York,10019,"(40.7604737301, -73.9760991397)",40.76047373,-73.97609914,MN17,Midtown-Midtown South,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,301 WEST 109 STREET,New York,New York,10025,"(40.8037209997, -73.967381)",40.803721,-73.967381,MN09,Morningside Heights,7,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,30 EAST KINGSBRIDGE ROAD,Bronx,New York,10468,"(40.8670379998, -73.8965369996)",40.867038,-73.896537,BX05,Bedford Park-Fordham North,14,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,214 WEST 96 STREET,New York,New York,10025,"(40.7944615402, -73.9715730901)",40.79446154,-73.97157309,MN12,Upper West Side,6,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,32 EAST 50 STREET,New York,New York,10022,"(40.7577338402, -73.9754336596)",40.75773384,-73.97543366,MN17,Midtown-Midtown South,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,110 Maiden Lane,New York,New York,10005,"(40.7062418498, -74.0062435098)",40.70624185,-74.00624351,MN25,Battery Park City-Lower Manhattan,1,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,31 EAST 26 STREET,New York,New York,10010,"(40.7427595303, -73.9864199897)",40.74275953,-73.98641999,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,1 ST LUKES PLACE,New York,New York,10014,"(40.7302576896, -74.0066285504)",40.73025769,-74.00662855,MN23,West Village,3,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Transit Wireless,Unknown,"Court St (M,R)/Borough Hall (2,3,4,5)",Brooklyn,New York,11201,"(40.6932189996, -73.9899979996)",40.693219,-73.989998,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,33,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
SPECTRUM,Unknown,Amplitheater,New York,New York,10027,"(40.8050129997, -73.9449089999)",40.805013,-73.944909,MN34,East Harlem North,9,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,613 WESTCHESTER AVENUE,Bronx,New York,10455,"(40.8161882102, -73.9099166103)",40.81618821,-73.90991661,BX34,Melrose South-Mott Haven North,17,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,110-88 QUEENS BOULEVARD,Queens,New York,11375,"(40.7186019996, -73.8381840006)",40.718602,-73.838184,QN17,Forest Hills,29,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,48 WEST FORDHAM ROAD,Bronx,New York,10468,"(40.8626436497, -73.9032440399)",40.86264365,-73.90324404,BX30,Kingsbridge Heights,14,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,26 EAST 84 STREET,New York,New York,10028,"(40.7795609103, -73.9599541)",40.77956091,-73.9599541,MN40,Upper East Side-Carnegie Hill,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,80-55 KEW GARDENS ROAD,Queens,New York,11415,"(40.7131669699, -73.8298089703)",40.71316697,-73.82980897,QN60,Kew Gardens,29,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Transit Wireless,Unknown,Central Av (M),New York,New York,10026,"(40.7990749998, -73.9518220006)",40.799075,-73.951822,MN11,Central Harlem South,9,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
SPECTRUM,Unknown,Pier and South Seating Area,New York,New York,10027,"(40.8205899999, -73.9596899999)",40.82059,-73.95969,MN06,Manhattanville,7,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,1967 BROADWAY,New York,New York,10023,"(40.77464584, -73.9823998204)",40.77464584,-73.98239982,MN14,Lincoln Square,6,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,685 2 AVENUE,New York,New York,10016,"(40.7468675402, -73.9745200604)",40.74686754,-73.97452006,MN20,Murray Hill-Kips Bay,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
NYPL,Unknown,310 East Kingsbridge Road,Bronx,New York,10458,"(40.8629806052, -73.8945028865)",40.86298061,-73.89450289,BX05,Bedford Park-Fordham North,15,Free,NYC Wifi Hotspot Locations,NYPL
NYCHA,Unknown,50 Monument Walk,Brooklyn,New York,11205,"(40.695295, -73.9801031998)",40.695295,-73.9801032,BK68,Fort Greene,35,Free,NYC Wifi Hotspot Locations,DowntownBrooklynWiFi_Fon
LinkNYC - Citybridge,Unknown,2321 BROADWAY,New York,New York,10024,"(40.7872468703, -73.9776456494)",40.78724687,-73.97764565,MN12,Upper West Side,6,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,222 LEXINGTON AVENUE,New York,New York,10016,"(40.7458632901, -73.9802332999)",40.74586329,-73.9802333,MN20,Murray Hill-Kips Bay,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
NYPL,Unknown,4355 KATONAH AVENUE,Bronx,New York,10470,"(40.9004399098, -73.867942)",40.90043991,-73.867942,BX62,Woodlawn-Wakefield,11,Free,NYC Wifi Hotspot Locations,NYPL
Chelsea,Unknown,10th between 15th and 16th,New York,New York,10011,"(40.7431927759, -74.0073877576)",40.74319278,-74.00738776,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3,Free,NYC Wifi Hotspot Locations,CICFreeWiFi
LinkNYC - Citybridge,Unknown,63 5 AVENUE,Brooklyn,New York,11217,"(40.6807317996, -73.9774460905)",40.6807318,-73.97744609,BK37,Park Slope-Gowanus,39,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Transit Wireless,Unknown,Times Square - 42nd Street,New York,New York,10018,"(40.75529, -73.9874950005)",40.75529,-73.987495,MN17,Midtown-Midtown South,3,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
